Monero 'Wolfram Warptangent' (v0.10.0.0-release)
Logging at log level 2 to /home/athan/dev/moneybit/hmonero/bar.log
2016-Oct-05 22:52:46.822967 Skipped block by height: 389000
2016-Oct-05 22:52:47.241694 Skipped block by height: 390000
2016-Oct-05 22:52:47.241975 Skipped block by height: 391000
2016-Oct-05 22:52:47.242042 Skipped block by height: 392000
2016-Oct-05 22:52:47.242103 Skipped block by height: 393000
2016-Oct-05 22:52:47.242167 Skipped block by height: 394000
2016-Oct-05 22:52:47.242231 Skipped block by height: 395000
2016-Oct-05 22:52:47.242295 Skipped block by height: 396000
2016-Oct-05 22:52:47.242358 Skipped block by height: 397000
2016-Oct-05 22:52:47.242421 Skipped block by height: 398000
2016-Oct-05 22:52:47.242484 Skipped block by height: 399000
2016-Oct-05 22:52:47.628788 Skipped block by height: 400000
2016-Oct-05 22:52:47.629044 Skipped block by height: 401000
2016-Oct-05 22:52:47.629105 Skipped block by height: 402000
2016-Oct-05 22:52:47.629161 Skipped block by height: 403000
2016-Oct-05 22:52:47.629232 Skipped block by height: 404000
2016-Oct-05 22:52:47.629289 Skipped block by height: 405000
2016-Oct-05 22:52:47.629344 Skipped block by height: 406000
2016-Oct-05 22:52:47.629399 Skipped block by height: 407000
2016-Oct-05 22:52:47.629456 Skipped block by height: 408000
2016-Oct-05 22:52:47.629515 Skipped block by height: 409000
2016-Oct-05 22:52:47.970907 Skipped block by height: 410000
2016-Oct-05 22:52:47.971160 Skipped block by height: 411000
2016-Oct-05 22:52:47.971220 Skipped block by height: 412000
2016-Oct-05 22:52:47.971275 Skipped block by height: 413000
2016-Oct-05 22:52:47.971332 Skipped block by height: 414000
2016-Oct-05 22:52:47.971392 Skipped block by height: 415000
2016-Oct-05 22:52:47.971449 Skipped block by height: 416000
2016-Oct-05 22:52:47.971507 Skipped block by height: 417000
2016-Oct-05 22:52:47.971596 Skipped block by height: 418000
2016-Oct-05 22:52:47.971664 Skipped block by height: 419000
2016-Oct-05 22:52:48.353403 Skipped block by height: 420000
2016-Oct-05 22:52:48.353658 Skipped block by height: 421000
2016-Oct-05 22:52:48.353718 Skipped block by height: 422000
2016-Oct-05 22:52:48.353774 Skipped block by height: 423000
2016-Oct-05 22:52:48.353833 Skipped block by height: 424000
2016-Oct-05 22:52:48.353891 Skipped block by height: 425000
2016-Oct-05 22:52:48.353948 Skipped block by height: 426000
2016-Oct-05 22:52:48.354005 Skipped block by height: 427000
2016-Oct-05 22:52:48.354062 Skipped block by height: 428000
2016-Oct-05 22:52:48.354117 Skipped block by height: 429000
2016-Oct-05 22:52:48.709999 Skipped block by height: 430000
2016-Oct-05 22:52:48.710253 Skipped block by height: 431000
2016-Oct-05 22:52:48.710313 Skipped block by height: 432000
2016-Oct-05 22:52:48.710369 Skipped block by height: 433000
2016-Oct-05 22:52:48.710427 Skipped block by height: 434000
2016-Oct-05 22:52:48.710485 Skipped block by height: 435000
2016-Oct-05 22:52:48.710566 Skipped block by height: 436000
2016-Oct-05 22:52:48.710627 Skipped block by height: 437000
2016-Oct-05 22:52:48.710686 Skipped block by height: 438000
2016-Oct-05 22:52:48.710744 Skipped block by height: 439000
2016-Oct-05 22:52:49.085265 Skipped block by height: 440000
2016-Oct-05 22:52:49.085521 Skipped block by height: 441000
2016-Oct-05 22:52:49.085581 Skipped block by height: 442000
2016-Oct-05 22:52:49.085638 Skipped block by height: 443000
2016-Oct-05 22:52:49.085983 Skipped block by height: 444000
2016-Oct-05 22:52:49.086046 Skipped block by height: 445000
